№,Фраза,"Показы (broad, снимок 30 дн)",Форм слито,Тип,Пиллар,Интент,Класс,Пол,Предмет,Гео,Сезон,Asset,Флаг,Сиды
147,в колледж поступить экзамены,10447,2,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
148,куда можно поступить с историей,10415,1,top,C,info,—,—,история,—,июнь-июль,main,,c11_s_istoriej
149,тест янга,10412,1,assoc,D,info,—,—,—,—,сент-окт,main,,d07_test_gollanda
150,после какого класса можно поступить в колледж,10311,2,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
151,список профессий после 9,10222,1,top,C,info,9,—,—,—,июнь-июль,main,,e01_professii_spisok
152,куда поступить с математикой и обществознанием,10211,1,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
153,какая профессия мне подходит,10201,1,top,B,info,—,—,—,—,март-апр,main,,b05_kakaya_professiya_podhodit
154,аэрокосмический колледж красноярск,10174,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
155,профориентация онлайн,10073,3,top,0,commercial,—,—,—,—,сент-окт,main,,d06_test_na_vybor_professii;p01_proforientaciya;p04_prof_online
156,техникум какое образование,9981,12,assoc,C,info,—,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9;c02_kuda_postupat_posle_11;c03_professii_posle_9;c05_postupit_v_kolledzh;c06_specialnosti_posle_9;c11_s_istoriej;c12_s_biologiej;c13_s_informatikoj;c15_s_fizikoj;c16_s_geografiej
157,куда можно поступить девушке,9970,1,top,C,info,—,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
158,красноярском колледже сферы услуг и предпринимательства,9966,1,top,C,commercial,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
159,9 класса список профессий,9907,3,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9;e01_professii_spisok
160,поступил учиться в колледж,9868,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
161,поступают ли в колледж после 11,9681,1,top,C,info,11,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
162,как выбрать профессию,9633,2,top,B,info,—,—,—,—,март-апр,main,,b02_kak_vybrat_professiyu
163,тест кто ты из уцц,9553,1,assoc,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
164,где поступить в колледж,9408,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
165,пермский колледж пермь,9368,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
166,тесто для эклеров,9365,1,assoc,D,info,—,—,—,—,сент-окт,main,,d08_test_klimova
167,тест на умение располагать к себе,9260,1,assoc,D,info,—,—,—,—,сент-окт,main,,p06_projti_proforientaciyu
168,ребенок поступил в колледж,9163,2,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
169,поступать ли в медицинский колледж,8977,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
170,тюменский колледж тюмень,8928,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
171,куда можно поступить с обществознанием и русским,8908,1,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
172,после колледжа можно поступить в университет,8861,2,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
173,что такое специальность,8859,8,assoc,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat;b02_kak_vybrat_professiyu;b05_kakaya_professiya_podhodit;c08_kuda_postupat_devushke;c09_kuda_postupat_parnyu;e01_professii_spisok;e02_vostrebovannye;e03_vysokooplachivaemye
174,красноярски монтажный колледж,8826,2,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
175,аттестационная работа,8808,1,assoc,D,info,—,—,—,—,сент-окт,main,,d05_test_na_professiyu
176,кем можно пойти работать,8764,2,top,B,info,—,—,—,—,март-апр,main,,b06_kem_pojti_rabotat
177,уунит специальности,8754,1,assoc,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
178,какие профессии можно после 9 класса,8726,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
179,виды тестирования,8687,1,assoc,D,info,—,—,—,—,сент-окт,main,,d06_test_na_vybor_professii
180,интересные профессии,8666,2,assoc,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya;p06_projti_proforientaciyu
181,колледжи красноярска 11,8600,2,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
182,класс профориентации,8554,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
183,куда поступить с биологией и русским,8528,1,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej
184,куда поступить после 9 класса девочке,8442,1,top,C,info,9,f,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
185,как поступить в колледж после 9,8329,1,top,C,info,9,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
186,строительный колледж пермь,8267,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
187,на кого можно пойти учиться,8258,3,top,B,info,—,—,—,—,март-апр,main,,b04_na_kogo_pojti_uchitsya;c10_s_obschestvoznaniem
188,сайты колледжей иркутска,8255,1,top,C,info,—,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
189,можно ли поступить в вуз после колледжа,8245,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
190,куда можно поступить девушке после 9,8245,1,top,C,info,9,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
191,тест какая профессия мне подходит,8201,1,top,D,info,—,—,—,—,сент-окт,main,,b05_kakaya_professiya_podhodit
192,9 класс куда можно поступить девушке,8154,3,top,C,info,9,f,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9;c08_kuda_postupat_devushke
193,поступают ли в колледж после 11 класса,8143,1,top,C,info,11,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
194,тесто какая профессия мне подходит,8110,1,top,D,info,—,—,—,—,сент-окт,main,,b05_kakaya_professiya_podhodit
195,в какие колледжи можно поступить после 9,8099,1,top,C,info,9,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
196,поступить заочно в колледж,8058,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
197,колледж это какое образование,8057,6,assoc,C,info,—,—,—,—,июнь-июль,main,,c06_specialnosti_posle_9;c11_s_istoriej;c12_s_biologiej;c13_s_informatikoj;c16_s_geografiej
198,экономический колледж пермь,8036,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
199,на кого можно поступить после 11,7948,1,assoc,C,info,11,—,—,—,июнь-июль,main,,c03_professii_posle_9
200,колледжи иркутск официальный сайт,7780,1,top,C,info,—,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
201,колледжи тюмень 11 класс,7700,2,top,C,info,11,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
202,лучшие профессии после 9 класса,7649,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
203,поступить в педагогический колледж,7575,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
204,педагогический колледж тюмень,7510,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
205,профориентация онлайн тест,7445,8,top,D,commercial,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d03_test_online;p01_proforientaciya;p04_prof_online
206,нефтяной колледж пермь,7428,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
207,красноярском финансово экономическом колледже,7416,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
208,специальности после 9 класса бюджет,7411,1,top,C,info,9,—,—,—,июнь-июль,main,,c06_specialnosti_posle_9
209,какие есть профессии после 9 класса,7323,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
210,куда можно поступить с химией биологией,7308,2,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej;c14_s_himiej
211,многопрофильный колледж тюмень,7289,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
212,медицинский колледж красноярск,7180,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
213,куда поступать с русским математикой и обществознанием,7139,1,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
214,поступить в колледж после армии,7095,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
